,No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
143,46,Month,August,June,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
291,56,Month,December,August,4,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
136,43,Month,May,March,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
260,28,Month,April,August,4,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
121,36,Month,June,August,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
417,125,Week,Thursday,Monday,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
58,46,Month,March,February,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
103,11,Month,January,March,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
237,70,Month,October ,July,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
373,111,Week,Monday,Wednesday ,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
268,31,Month,July,November ,4,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
198,19,Month,January,April,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
263,20,Month,April,August,4,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
22,41,Month,August,September ,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
120,34,Month,April,June,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
292,53,Month,September ,May,4,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
113,39,Month,September ,November ,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
327,114,Week,Thursday,Friday,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
148,68,Month,October ,August,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
247,1,Month,January,May,4,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
93,14,Month,April,June,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
261,21,Month,May,September ,4,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
205,39,Month,June,March,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
244,11,Month,March,July,4,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
59,58,Month,April,March,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
391,143,Week,Sunday,Friday,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
299,58,Month,June,February,4,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
71,84,Month,August,July,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
223,55,Month,April,January,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
225,65,Month,May,February,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
200,29,Month,February,May,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
335,126,Week,Wednesday ,Tuesday,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
142,41,Month,March,January,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
83,76,Month,November ,October ,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
207,54,Month,December,September ,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
11,11,Month,November ,December,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
211,46,Month,April,January,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
36,38,Month,May,June,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
381,136,Week,Sunday,Friday,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
101,10,Month,October ,December,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
180,4,Month,April,July,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
77,79,Month,March,February,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
133,47,Month,September ,July,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
427,139,Week,Thursday,Monday,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
135,55,Month,July,May,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
273,43,Month,July,March,4,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
100,2,Month,February,April,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
385,126,Week,Thursday,Tuesday,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
245,7,Month,July,November ,4,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
45,50,Month,July,June,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
123,24,Month,April,June,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
0,13,Month,February,March,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
