,No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
159,79,Month,November ,September ,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
307,106,Week,Wednesday ,Thursday,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
349,143,Week,Saturday,Friday,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
193,30,Month,March,June,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
88,16,Month,June,August,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
67,68,Month,March,February,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
187,33,Month,June,September ,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
281,44,Month,August,April,4,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
52,59,Month,May,April,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
162,80,Month,December,October ,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
366,106,Week,Wednesday ,Friday,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
301,50,Month,June,February,4,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
411,118,Week,Monday,Thursday,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
365,99,Week,Wednesday ,Friday,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
161,75,Month,July,May,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
363,101,Week,Friday,Sunday,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
404,99,Week,Wednesday ,Saturday,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
89,4,Month,April,June,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
279,39,Month,November ,July,4,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
1,3,Month,March,April,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
43,26,Month,April,May,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
419,135,Week,Sunday,Thursday,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
395,139,Week,Wednesday ,Monday,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
