,No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
141,54,Month,六月,四月,2,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
156,69,Month,十一月 ,九月 ,2,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
119,22,Month,二月,四月,2,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
248,15,Month,七月,十一月 ,4,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
337,127,Week,星期四,星期三 ,1,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
122,28,Month,八月,十月 ,2,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
230,63,Month,十二月,九月 ,3,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
115,38,Month,八月,十月 ,2,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
80,73,Month,八月,七月,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
30,42,Month,九月 ,十月 ,1,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
264,25,Month,一月,五月,4,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
182,15,Month,六月,九月 ,3,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
401,97,Week,星期一,星期四,3,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
81,67,Month,二月 ,一月,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
217,49,Month,七月,四月,3,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
219,52,Month,十月 ,七月,3,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
300,59,Month,七月,三月,4,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
149,77,Month,九月 ,七月,2,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
176,1,Month,一月,四月,3,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
116,26,Month,六月,八月,2,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
191,34,Month,七月,十月 ,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
321,120,Week,星期三 ,星期四,1,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
155,65,Month,七月,五月,2,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
199,28,Month,一月,四月,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
108,35,Month,五月,七月,2,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
355,141,Week,星期四,星期三 ,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
15,19,Month,八月,九月 ,1,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
87,85,Month,九月 ,八月,1,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
361,107,Week,星期四,星期六,2,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
102,6,Month,六月,八月,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
37,40,Month,七月,八月,1,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
73,82,Month,六月,五月,1,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
253,10,Month,二月,六月,4,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
241,3,Month,三月,七月,4,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
139,58,Month,十月 ,八月,2,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
313,102,Week,星期六,星期日,1,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
285,38,Month,十月 ,六月,4,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
412,120,Week,星期三 ,星期六,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
39,27,Month,五月,六月,1,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
229,61,Month,十月 ,七月,3,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
259,19,Month,三月,七月,4,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
227,67,Month,七月,四月,3,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
329,123,Week,星期六,星期日,1,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
183,2,Month,二月,五月,3,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
393,142,Week,星期六,星期四,2,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
323,116,Week,星期六,星期日,1,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
21,14,Month,三月,四月,1,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
343,133,Week,星期三 ,星期二,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
61,61,Month,七月,六月,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
8,9,Month,九月 ,十月 ,1,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
284,47,Month,十一月 ,七月,4,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
420,128,Week,星期日,星期四,3,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
