No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
19,Month,March,July,4,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
28,Month,April,August,4,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
21,Month,May,September ,4,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
26,Month,February,June,4,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
20,Month,April,August,4,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
25,Month,January,May,4,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
18,Month,February,June,4,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
30,Month,June,October ,4,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
17,Month,January,May,4,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
31,Month,July,November ,4,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
23,Month,July,November ,4,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
24,Month,August,December,4,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
22,Month,June,October ,4,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
33,Month,May,January,4,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
43,Month,July,March,4,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
40,Month,December,August,4,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
48,Month,December,August,4,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
35,Month,July,March,4,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
36,Month,August,April,4,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
37,Month,September ,May,4,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
39,Month,November ,July,4,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
45,Month,September ,May,4,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
44,Month,August,April,4,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
41,Month,May,January,4,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
34,Month,June,February,4,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
47,Month,November ,July,4,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
38,Month,October ,June,4,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
42,Month,June,February,4,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
46,Month,October ,June,4,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
64,Month,December,August,4,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
52,Month,August,April,4,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
49,Month,May,January,4,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
56,Month,December,August,4,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
53,Month,September ,May,4,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
51,Month,July,March,4,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
61,Month,September ,May,4,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
57,Month,May,January,4,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
63,Month,November ,July,4,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
62,Month,October ,June,4,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
60,Month,August,April,4,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
58,Month,June,February,4,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
59,Month,July,March,4,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
50,Month,June,February,4,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
54,Month,October ,June,4,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
55,Month,November ,July,4,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
99,Week,Wednesday ,Thursday,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
100,Week,Thursday,Friday,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
105,Week,Tuesday,Wednesday ,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
106,Week,Wednesday ,Thursday,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
109,Week,Saturday,Sunday,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
98,Week,Tuesday,Wednesday ,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
104,Week,Monday,Tuesday,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
101,Week,Friday,Saturday,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
107,Week,Thursday,Friday,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
102,Week,Saturday,Sunday,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
97,Week,Monday,Tuesday,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
108,Week,Friday,Saturday,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
110,Week,Sunday,Monday,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
103,Week,Sunday,Monday,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
124,Week,Sunday,Monday,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
113,Week,Wednesday ,Thursday,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
119,Week,Tuesday,Wednesday ,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
120,Week,Wednesday ,Thursday,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
115,Week,Friday,Saturday,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
116,Week,Saturday,Sunday,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
121,Week,Thursday,Friday,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
112,Week,Tuesday,Wednesday ,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
122,Week,Friday,Saturday,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
114,Week,Thursday,Friday,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
117,Week,Sunday,Monday,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
123,Week,Saturday,Sunday,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
118,Week,Monday,Tuesday,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
111,Week,Monday,Tuesday,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
134,Week,Thursday,Wednesday ,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
129,Week,Saturday,Friday,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
135,Week,Friday,Thursday,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
126,Week,Wednesday ,Tuesday,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
128,Week,Friday,Thursday,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
127,Week,Thursday,Wednesday ,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
125,Week,Tuesday,Monday,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
138,Week,Monday,Sunday,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
132,Week,Tuesday,Monday,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
136,Week,Saturday,Friday,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
130,Week,Sunday,Saturday,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
133,Week,Wednesday ,Tuesday,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
131,Week,Monday,Sunday,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
137,Week,Sunday,Saturday,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
151,Week,Sunday,Saturday,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
147,Week,Wednesday ,Tuesday,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
146,Week,Tuesday,Monday,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
143,Week,Saturday,Friday,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
145,Week,Monday,Sunday,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
152,Week,Monday,Tuesday,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
148,Week,Thursday,Wednesday ,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
149,Week,Friday,Thursday,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
142,Week,Friday,Thursday,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
141,Week,Thursday,Wednesday ,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
139,Week,Tuesday,Monday,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
150,Week,Saturday,Friday,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
140,Week,Wednesday ,Tuesday,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
144,Week,Sunday,Saturday,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
104,Week,Monday,Wednesday ,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
107,Week,Thursday,Saturday,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
97,Week,Monday,Wednesday ,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
101,Week,Friday,Sunday,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
98,Week,Tuesday,Thursday,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
99,Week,Wednesday ,Friday,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
106,Week,Wednesday ,Friday,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
100,Week,Thursday,Saturday,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
105,Week,Tuesday,Thursday,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
108,Week,Friday,Sunday,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
115,Week,Friday,Sunday,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
114,Week,Thursday,Saturday,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
121,Week,Thursday,Saturday,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
111,Week,Monday,Wednesday ,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
112,Week,Tuesday,Thursday,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
122,Week,Friday,Sunday,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
118,Week,Monday,Wednesday ,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
119,Week,Tuesday,Thursday,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
120,Week,Wednesday ,Friday,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
113,Week,Wednesday ,Friday,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
133,Week,Thursday,Tuesday,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
136,Week,Sunday,Friday,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
129,Week,Sunday,Friday,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
134,Week,Friday,Wednesday ,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
125,Week,Wednesday ,Monday,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
126,Week,Thursday,Tuesday,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
127,Week,Friday,Wednesday ,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
132,Week,Wednesday ,Monday,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
135,Week,Saturday,Thursday,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
128,Week,Saturday,Thursday,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
147,Week,Thursday,Tuesday,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
143,Week,Sunday,Friday,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
146,Week,Wednesday ,Monday,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
142,Week,Saturday,Thursday,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
150,Week,Sunday,Friday,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
139,Week,Wednesday ,Monday,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
149,Week,Saturday,Thursday,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
141,Week,Friday,Wednesday ,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
140,Week,Thursday,Tuesday,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
148,Week,Friday,Wednesday ,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
100,Week,Thursday,Sunday,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
97,Week,Monday,Thursday,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
104,Week,Monday,Thursday,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
106,Week,Wednesday ,Saturday,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
99,Week,Wednesday ,Saturday,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
98,Week,Tuesday,Friday,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
107,Week,Thursday,Sunday,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
105,Week,Tuesday,Friday,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
113,Week,Wednesday ,Saturday,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
121,Week,Thursday,Sunday,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
119,Week,Tuesday,Friday,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
118,Week,Monday,Thursday,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
120,Week,Wednesday ,Saturday,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
112,Week,Tuesday,Friday,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
111,Week,Monday,Thursday,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
114,Week,Thursday,Sunday,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
127,Week,Saturday,Wednesday ,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
125,Week,Thursday,Monday,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
134,Week,Saturday,Wednesday ,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
135,Week,Sunday,Thursday,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
128,Week,Sunday,Thursday,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
126,Week,Friday,Tuesday,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
132,Week,Thursday,Monday,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
133,Week,Friday,Tuesday,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
140,Week,Friday,Tuesday,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
147,Week,Friday,Tuesday,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
146,Week,Thursday,Monday,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
139,Week,Thursday,Monday,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
12,Week,Sunday,Thursday,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
141,Week,Saturday,Wednesday ,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
142,Week,Sunday,Thursday,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
148,Week,Saturday,Wednesday ,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
