No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
3,Month,三月,六月,3,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
114,Week,星期四,星期六,2,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
132,Week,星期三 ,星期一,2,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
56,Month,五月,二月,3,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
35,Month,五月,七月,2,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
2,Month,二月,四月,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
67,Month,七月,四月,3,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
141,Week,星期四,星期三 ,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
79,Month,三月,二月,1,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
28,Month,一月,四月,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
149,Week,星期六,星期四,2,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
100,Week,星期四,星期六,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
135,Week,星期日,星期四,3,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
139,Week,星期三 ,星期一,2,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
29,Month,二月,五月,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
142,Week,星期六,星期四,2,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
111,Week,星期一,星期四,3,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
27,Month,七月,九月 ,2,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
138,Week,星期一,星期日,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
3,Month,三月,四月,1,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
49,Month,六月,五月,1,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
147,Week,星期五,星期二,3,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
121,Week,星期四,星期日,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
41,Month,八月,九月 ,1,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
20,Month,十月 ,十二月,2,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
18,Month,二月,六月,4,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
39,Month,六月,三月,3,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
74,Month,六月,四月,2,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
106,Week,星期三 ,星期四,1,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
73,Month,八月,七月,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
133,Week,星期三 ,星期二,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
125,Week,星期四,星期一,3,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
16,Month,五月,六月,1,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
6,Month,六月,七月,1,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
1,Month,一月,五月,4,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
17,Month,一月,五月,4,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
132,Week,星期二,星期一,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
48,Month,五月,四月,1,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
74,Month,九月 ,八月,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
22,Month,二月,四月,2,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
44,Month,八月,四月,4,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
112,Week,星期二,星期四,2,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
15,Month,六月,九月 ,3,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
60,Month,六月,五月,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
33,Month,六月,九月 ,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
152,Week,星期一,星期二,1,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
120,Week,星期三 ,星期四,1,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
98,Week,星期二,星期四,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
27,Month,五月,六月,1,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
3,Month,三月,七月,4,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
