No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
142,Week,星期五,星期四,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
75,Month,十月 ,九月 ,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
29,Month,七月,八月,1,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
106,Week,星期三 ,星期六,3,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
20,Month,四月,八月,4,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
125,Week,星期三 ,星期一,2,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
99,Week,星期三 ,星期六,3,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
139,Week,星期四,星期一,3,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
24,Month,四月,六月,2,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
12,Week,星期日,星期四,3,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
116,Week,星期六,星期日,1,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
34,Month,七月,十月 ,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
114,Week,星期四,星期日,3,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
127,Week,星期五,星期三 ,2,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
46,Month,四月,一月,3,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
141,Week,星期五,星期三 ,2,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
107,Week,星期四,星期六,2,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
136,Week,星期日,星期五,2,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
58,Month,六月,二月,4,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
132,Week,星期四,星期一,3,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
97,Week,星期一,星期四,3,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
34,Month,六月,二月,4,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
63,Month,十二月,九月 ,3,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
150,Week,星期六,星期五,1,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
112,Week,星期二,星期五,3,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
126,Week,星期三 ,星期二,1,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
148,Week,星期六,星期三 ,3,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
62,Month,十月 ,六月,4,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
1,Month,一月,二月 ,1,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
6,Month,六月,十月 ,4,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
16,Month,六月,八月,2,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
112,Week,星期二,星期三 ,1,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
26,Month,六月,八月,2,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
24,Month,六月,九月 ,3,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
120,Week,星期三 ,星期六,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
50,Month,八月,五月,3,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
143,Week,星期六,星期五,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
38,Month,八月,十月 ,2,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
49,Month,七月,四月,3,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
45,Month,九月 ,五月,4,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
101,Week,星期五,星期日,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
13,Month,四月,七月,3,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
101,Week,星期五,星期六,1,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
77,Month,九月 ,七月,2,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
78,Month,十月 ,八月,2,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
118,Week,星期一,星期四,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
150,Week,星期日,星期五,2,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
59,Month,七月,三月,4,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
23,Month,七月,十一月 ,4,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
98,Week,星期二,星期三 ,1,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
