,No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
143,46,Month,八月,六月,2,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
291,56,Month,十二月,八月,4,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
136,43,Month,五月,三月,2,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
260,28,Month,四月,八月,4,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
121,36,Month,六月,八月,2,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
417,125,Week,星期四,星期一,3,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
58,46,Month,三月,二月,1,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
103,11,Month,一月,三月,2,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
237,70,Month,十月 ,七月,3,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
373,111,Week,星期一,星期三 ,2,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
268,31,Month,七月,十一月 ,4,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
198,19,Month,一月,四月,3,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
263,20,Month,四月,八月,4,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
22,41,Month,八月,九月 ,1,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
120,34,Month,四月,六月,2,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
292,53,Month,九月 ,五月,4,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
113,39,Month,九月 ,十一月 ,2,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
327,114,Week,星期四,星期五,1,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
148,68,Month,十月 ,八月,2,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
247,1,Month,一月,五月,4,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
