,No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
93,14,Month,四月,六月,2,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
261,21,Month,五月,九月 ,4,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
205,39,Month,六月,三月,3,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
244,11,Month,三月,七月,4,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
59,58,Month,四月,三月,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
391,143,Week,星期日,星期五,2,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
299,58,Month,六月,二月,4,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
71,84,Month,八月,七月,1,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
223,55,Month,四月,一月,3,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
225,65,Month,五月,二月,3,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
200,29,Month,二月,五月,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
335,126,Week,星期三 ,星期二,1,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
142,41,Month,三月,一月,2,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
83,76,Month,十一月 ,十月 ,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
207,54,Month,十二月,九月 ,3,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
11,11,Month,十一月 ,十二月,1,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
211,46,Month,四月,一月,3,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
36,38,Month,五月,六月,1,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
381,136,Week,星期日,星期五,2,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
101,10,Month,十月 ,十二月,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
180,4,Month,四月,七月,3,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
77,79,Month,三月,二月,1,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
133,47,Month,九月 ,七月,2,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
427,139,Week,星期四,星期一,3,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
135,55,Month,七月,五月,2,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
273,43,Month,七月,三月,4,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
100,2,Month,二月,四月,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
385,126,Week,星期四,星期二,2,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
245,7,Month,七月,十一月 ,4,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
45,50,Month,七月,六月,1,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
123,24,Month,四月,六月,2,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
0,13,Month,二月,三月,1,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
