,No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
257,29,Month,五月,九月 ,4,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
5,1,Month,一月,二月 ,1,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
23,23,Month,一月,二月 ,1,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
95,12,Month,二月,四月,2,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
128,60,Month,十二月,十月 ,2,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
55,48,Month,五月,四月,1,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
265,18,Month,二月,六月,4,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
413,112,Week,星期二,星期五,3,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
201,26,Month,八月,十一月 ,3,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
289,52,Month,八月,四月,4,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
194,32,Month,五月,八月,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
109,27,Month,七月,九月 ,2,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
249,8,Month,八月,十二月,4,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
74,75,Month,十月 ,九月 ,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
216,40,Month,七月,四月,3,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
252,16,Month,八月,十二月,4,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
293,51,Month,七月,三月,4,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
405,98,Week,星期二,星期五,3,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
280,45,Month,九月 ,五月,4,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
14,21,Month,十月 ,十一月 ,1,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
129,53,Month,五月,三月,2,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
429,141,Week,星期六,星期三 ,3,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
296,63,Month,十一月 ,七月,4,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
428,12,Week,星期日,星期四,3,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
251,6,Month,六月,十月 ,4,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
375,122,Week,星期五,星期日,2,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
376,118,Week,星期一,星期三 ,2,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
383,134,Week,星期五,星期三 ,2,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
421,126,Week,星期五,星期二,3,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
341,136,Week,星期六,星期五,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
179,18,Month,九月 ,十二月,3,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
197,24,Month,六月,九月 ,3,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
351,152,Week,星期一,星期二,1,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
425,147,Week,星期五,星期二,3,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
65,55,Month,十二月,十一月 ,1,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
243,5,Month,五月,九月 ,4,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
276,35,Month,七月,三月,4,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
315,108,Week,星期五,星期六,1,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
173,16,Month,七月,十月 ,3,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
163,78,Month,十月 ,八月,2,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
96,3,Month,三月,五月,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
218,42,Month,九月 ,六月,3,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
181,3,Month,三月,六月,3,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
171,8,Month,八月,十一月 ,3,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
403,106,Week,星期三 ,星期六,3,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
215,43,Month,十月 ,七月,3,incongruent,Hori,early,right,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
295,57,Month,五月,一月,4,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
357,150,Week,星期六,星期五,1,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
371,114,Week,星期四,星期六,2,congruent,Vert,early,up,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
236,64,Month,四月,一月,3,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
235,56,Month,五月,二月,3,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
175,6,Month,六月,九月 ,3,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
