,No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
159,79,Month,十一月 ,九月 ,2,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
307,106,Week,星期三 ,星期四,1,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
349,143,Week,星期六,星期五,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
193,30,Month,三月,六月,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
88,16,Month,六月,八月,2,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
67,68,Month,三月,二月,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
187,33,Month,六月,九月 ,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
281,44,Month,八月,四月,4,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
52,59,Month,五月,四月,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
162,80,Month,十二月,十月 ,2,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
366,106,Week,星期三 ,星期五,2,congruent,Hori,late,right,image/Chi_late.png,"[-0.3,0]","[0.3,0]"
301,50,Month,六月,二月,4,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.3]","[0,-0.3]"
411,118,Week,星期一,星期四,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
365,99,Week,星期三 ,星期五,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
161,75,Month,七月,五月,2,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.3]","[0,-0.3]"
363,101,Week,星期五,星期日,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
404,99,Week,星期三 ,星期六,3,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
89,4,Month,四月,六月,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.3,0]","[0.3,0]"
