No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
42,Month,September ,October ,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
108,Week,Friday,Saturday,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
53,Month,May,March,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
99,Week,Wednesday ,Friday,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
57,Month,June,March,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
21,Month,October ,November ,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
46,Month,August,June,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
43,Month,October ,July,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
111,Week,Monday,Wednesday ,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
18,Month,September ,December,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
114,Week,Thursday,Friday,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
65,Month,July,May,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
59,Month,May,April,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
57,Month,March,February,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
39,Month,September ,November ,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
102,Week,Saturday,Sunday,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
61,Month,October ,July,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
126,Week,Friday,Tuesday,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
84,Month,August,July,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
70,Month,October ,July,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
4,Month,April,June,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
29,Month,May,September ,4,congruent,Vert,late,down,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
55,Month,April,January,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
25,Month,January,May,4,congruent,Vert,late,down,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
126,Week,Thursday,Tuesday,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
6,Month,June,September ,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
14,Month,April,June,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
16,Month,August,December,4,congruent,Hori,late,right,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
11,Month,November ,December,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
141,Week,Saturday,Wednesday ,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
23,Month,January,February ,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
123,Week,Saturday,Sunday,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
48,Month,October ,August,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
82,Month,June,May,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
1,Month,January,April,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
142,Week,Sunday,Thursday,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
2,Month,February,May,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
10,Month,February,June,4,congruent,Hori,late,right,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
34,Month,April,June,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
98,Week,Tuesday,Friday,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
39,Month,November ,July,4,incongruent,Hori,early,right,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
72,Month,April,February,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.4]","[0,-0.4]"
13,Month,February,March,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
16,Month,July,October ,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
26,Month,August,November ,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
60,Month,December,October ,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
21,Month,May,September ,4,congruent,Vert,early,up,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
134,Week,Friday,Wednesday ,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.4,0]","[0.4,0]"
68,Month,October ,August,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.4]","[0,-0.4]"
7,Month,July,November ,4,congruent,Hori,early,left,image/Eng_early.png,"[-0.4,0]","[0.4,0]"
