,No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
354,142,Week,Friday,Thursday,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
74,75,Month,October ,September ,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
27,29,Month,July,August,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
403,106,Week,Wednesday ,Saturday,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
263,20,Month,April,August,4,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
384,125,Week,Wednesday ,Monday,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
404,99,Week,Wednesday ,Saturday,3,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
427,139,Week,Thursday,Monday,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
123,24,Month,April,June,2,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
428,12,Week,Sunday,Thursday,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
323,116,Week,Saturday,Sunday,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
191,34,Month,July,October ,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
415,114,Week,Thursday,Sunday,3,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
386,127,Week,Friday,Wednesday ,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
211,46,Month,April,January,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
397,141,Week,Friday,Wednesday ,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
361,107,Week,Thursday,Saturday,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
