No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
43,Month,七月,三月,4,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
122,Week,星期五,星期日,2,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
52,Month,十月 ,七月,3,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
105,Week,星期二,星期五,3,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
118,Week,星期一,星期三 ,2,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
32,Month,十月 ,十一月 ,1,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
119,Week,星期二,星期四,2,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
68,Month,三月,二月,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
9,Month,九月 ,十月 ,1,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
127,Week,星期四,星期三 ,1,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
133,Week,星期五,星期二,3,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
