No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
79,Month,十一月 ,九月 ,2,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
76,Month,十一月 ,十月 ,1,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
33,Month,十一月 ,十二月,1,congruent,Vert,early,up,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
63,Month,十一月 ,七月,4,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
42,Month,九月 ,六月,3,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
11,Month,一月,三月,2,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
31,Month,七月,十一月 ,4,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
8,Month,八月,十二月,4,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
149,Week,星期五,星期四,1,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
32,Month,五月,八月,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
47,Month,五月,二月,3,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
55,Month,七月,五月,2,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
51,Month,七月,三月,4,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
136,Week,星期六,星期五,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
30,Month,三月,六月,3,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
15,Month,七月,十一月 ,4,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
43,Month,五月,三月,2,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
61,Month,七月,六月,1,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
38,Month,十月 ,六月,4,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
107,Week,星期四,星期五,1,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
38,Month,五月,六月,1,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
12,Month,二月,四月,2,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
143,Week,星期日,星期五,2,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
47,Month,九月 ,七月,2,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
64,Month,四月,一月,3,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
57,Month,五月,一月,4,incongruent,Vert,late,up,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
58,Month,十月 ,八月,2,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
36,Month,八月,四月,4,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
50,Month,七月,六月,1,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
3,Month,三月,五月,2,congruent,Hori,early,left,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
50,Month,六月,二月,4,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
52,Month,八月,四月,4,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
69,Month,十一月 ,九月 ,2,incongruent,Vert,early,down,image/Chi_early.png,"[0,0.4]","[0,-0.4]"
106,Week,星期三 ,星期五,2,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
107,Week,星期四,星期日,3,congruent,Hori,late,right,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
128,Week,星期日,星期四,3,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
46,Month,三月,二月,1,incongruent,Hori,early,right,image/Chi_early.png,"[-0.4,0]","[0.4,0]"
47,Month,十一月 ,七月,4,incongruent,Hori,late,left,image/Chi_late.png,"[-0.4,0]","[0.4,0]"
122,Week,星期五,星期六,1,congruent,Vert,late,down,image/Chi_late.png,"[0,0.4]","[0,-0.4]"
