,No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
159,79,Month,November ,September ,2,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
83,76,Month,November ,October ,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
29,33,Month,November ,December,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
296,63,Month,November ,July,4,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
218,42,Month,September ,June,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
103,11,Month,January,March,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
268,31,Month,July,November ,4,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
249,8,Month,August,December,4,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
353,149,Week,Friday,Thursday,1,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
194,32,Month,May,August,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
212,47,Month,May,February,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
135,55,Month,July,May,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
293,51,Month,July,March,4,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
341,136,Week,Saturday,Friday,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
193,30,Month,March,June,3,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
248,15,Month,July,November ,4,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
136,43,Month,May,March,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
61,61,Month,July,June,1,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
285,38,Month,October ,June,4,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
312,107,Week,Thursday,Friday,1,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
36,38,Month,May,June,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
95,12,Month,February,April,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
391,143,Week,Sunday,Friday,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
133,47,Month,September ,July,2,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
236,64,Month,April,January,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
295,57,Month,May,January,4,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
139,58,Month,October ,August,2,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
277,36,Month,August,April,4,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
45,50,Month,July,June,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
96,3,Month,March,May,2,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
301,50,Month,June,February,4,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
289,52,Month,August,April,4,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
156,69,Month,November ,September ,2,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
366,106,Week,Wednesday ,Friday,2,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
406,107,Week,Thursday,Sunday,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
420,128,Week,Sunday,Thursday,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
58,46,Month,March,February,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
284,47,Month,November ,July,4,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
326,122,Week,Friday,Saturday,1,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
273,43,Month,July,March,4,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
375,122,Week,Friday,Sunday,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
219,52,Month,October ,July,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
407,105,Week,Tuesday,Friday,3,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
376,118,Week,Monday,Wednesday ,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
33,32,Month,October ,November ,1,congruent,Vert,early,up,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
377,119,Week,Tuesday,Thursday,2,congruent,Vert,late,down,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
67,68,Month,March,February,1,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
8,9,Month,September ,October ,1,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
337,127,Week,Thursday,Wednesday ,1,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
423,133,Week,Friday,Tuesday,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
